english word,anger,fear,anticipation,trust,surprise,sadness,joy,disgust,review
stay,0,0,0,0,0,0,0,0,0
king,0,0,0,0,0,0,0,0,0
suite,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,0,0,0,0
bite,0,0,0,0,0,0,0,0,0
happy,0,0,1,1,0,0,1,0,0
standard,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,0,0,0
location,0,0,0,0,0,0,0,0,0
friendliness,0,0,0,1,0,0,1,0,0
staff,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,0,0,0
floor,0,0,0,0,0,0,0,0,0
fairway,0,0,0,0,0,0,0,0,0
market,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,0,0,0
noise,0,0,0,0,0,0,0,0,0
evident,0,0,0,1,0,0,0,0,0
room,0,0,0,0,0,0,0,0,0
open,0,0,0,0,0,0,0,0,0
window,0,0,0,0,0,0,0,0,0
crave,0,0,1,0,0,0,0,0,0
heat,0,0,0,0,0,0,0,0,0
air,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0
fold,0,0,0,0,0,0,0,0,0
sofa,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,0,0,0
clean,0,0,0,1,0,0,1,0,0
access,0,0,0,0,0,0,0,0,0
work,0,0,0,0,0,0,0,0,0
dream,0,0,0,0,0,0,0,0,0
issue,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,0,0,0,0
respond,0,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0
service,0,0,0,0,0,0,0,0,0
ensure,0,0,0,0,0,0,0,0,0
location,0,0,0,0,0,0,0,0,0
close,0,0,0,0,0,0,0,0,0
street,0,0,0,0,0,0,0,0,0
subway,0,0,0,0,0,0,0,0,0
station,0,0,0,0,0,0,0,0,0
umbrella,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,0,0,0
greatly,0,0,0,0,0,0,0,0,0
kitchen,0,0,0,0,0,0,0,0,0
cook,0,0,0,0,0,0,0,0,0
facility,0,0,0,0,0,0,0,0,0
access,0,0,0,0,0,0,0,0,0
food,0,0,0,1,0,0,1,0,0
directly,0,0,0,0,0,0,0,0,0
road,0,0,0,0,0,0,0,0,0
fairway,0,0,0,0,0,0,0,0,0
time,0,0,1,0,0,0,0,0,0
member,0,0,0,0,0,0,0,0,0
party,0,0,0,0,0,0,0,0,0
stay,0,0,0,0,0,0,0,0,0
beacon,0,0,0,0,0,0,0,0,0
hotel,0,0,0,0,0,0,0,0,0
choice,0,0,0,0,0,0,0,0,0
future,0,0,0,0,0,0,0,0,0
visit,0,0,0,0,0,0,0,0,0
visit,0,0,0,0,0,0,0,0,1
hotel,0,0,0,0,0,0,0,0,1
beacon,0,0,0,0,0,0,0,0,1
place,0,0,0,0,0,0,0,0,1
love,0,0,0,0,0,0,1,0,1
stay,0,0,0,0,0,0,0,0,1
locate,0,0,0,0,0,0,0,0,1
central,0,0,0,0,0,0,0,0,1
park,0,0,0,0,0,0,0,0,1
center,0,0,0,1,0,0,0,0,1
local,0,0,0,0,0,0,0,0,1
restaurant,0,0,0,0,0,0,0,0,1
room,0,0,0,0,0,0,0,0,1
lovely,0,0,1,1,1,1,1,0,1
bed,0,0,0,0,0,0,0,0,1
kitchen,0,0,0,0,0,0,0,0,1
bang,1,1,0,0,1,1,0,1,1
coffee,0,0,0,0,0,0,0,0,1
maker,0,0,0,0,0,0,0,0,1
staff,0,0,0,0,0,0,0,0,1
accommodate,0,0,0,0,0,0,0,0,1
love,0,0,0,0,0,0,1,0,1
street,0,0,0,0,0,0,0,0,1
fairway,0,0,0,0,0,0,0,0,1
supermarket,0,0,0,0,0,0,0,0,1
goody,0,0,0,0,0,0,0,0,1
eat,0,0,0,0,0,0,0,0,1
choose,0,0,0,0,0,0,0,0,1
meal,0,0,0,0,0,0,0,0,1
property,0,0,0,0,0,0,0,0,2
room,0,0,0,0,0,0,0,0,2
room,0,0,0,0,0,0,0,0,2
stay,0,0,0,0,0,0,0,0,2
room,0,0,0,0,0,0,0,0,2
tower,0,0,0,0,0,0,0,0,2
inconvenient,1,0,0,0,0,1,0,1,2
conference,0,0,0,0,0,0,0,0,2
area,0,0,0,0,0,0,0,0,2
elevator,0,0,0,0,0,0,0,0,2
room,0,0,0,0,0,0,0,0,2
suite,0,0,0,0,0,0,0,0,2
appoint,0,0,0,0,0,0,0,0,2
room,0,0,0,0,0,0,0,0,2
part,0,0,0,0,0,0,0,0,2
bathroom,0,0,0,0,0,0,0,0,2
foot,0,0,0,0,0,0,0,0,2
soak,0,0,0,0,0,0,0,0,2
bowl,0,0,0,0,0,0,0,0,2
bath,0,0,0,0,0,0,0,0,2
product,0,0,0,0,0,0,0,0,2
bathroom,0,0,0,0,0,0,0,0,2
lemon,0,0,0,0,0,0,0,1,2
pancake,0,0,0,0,0,0,0,0,2
restaurant,0,0,0,0,0,0,0,0,2
pancake,0,0,0,0,0,0,0,0,2
hotel,0,0,0,0,0,0,0,0,3
central,0,0,0,0,0,0,0,0,3
location,0,0,0,0,0,0,0,0,3
modern,0,0,0,0,0,0,0,0,3
hotel,0,0,0,0,0,0,0,0,3
convenient,0,0,0,0,0,0,0,0,3
arrive,0,0,1,0,0,0,0,0,3
greet,0,0,0,0,0,0,0,0,3
friendly,0,0,1,1,0,0,1,0,3
walk,0,0,0,0,0,0,0,0,3
desk,0,0,0,0,0,0,0,0,3
offering,0,0,0,1,0,0,0,0,3
beverage,0,0,0,0,0,0,0,0,3
bedroom,0,0,0,0,0,0,0,0,3
suite,0,0,0,0,0,0,0,0,3
accommodate,0,0,0,0,0,0,0,0,3
people,0,0,0,0,0,0,0,0,3
plenty,0,0,0,0,0,0,0,0,3
closet,0,0,0,0,0,0,0,0,3
