english word,anger,fear,anticipation,trust,surprise,sadness,joy,disgust,review,sentence
stay,0,0,0,0,0,0,0,0,0,0
king,0,0,0,0,0,0,0,0,0,0
suite,0,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,0,0,0,0,0
bite,0,0,0,0,0,0,0,0,0,0
happy,0,0,1,1,0,0,1,0,0,0
standard,0,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,0,0,0,0
location,0,0,0,0,0,0,0,0,0,0
friendliness,0,0,0,1,0,0,1,0,0,0
staff,0,0,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,0,0,0,1
floor,0,0,0,0,0,0,0,0,0,1
fairway,0,0,0,0,0,0,0,0,0,1
market,0,0,0,0,0,0,0,0,0,1
room,0,0,0,0,0,0,0,0,0,2
noise,0,0,0,0,0,0,0,0,0,2
evident,0,0,0,1,0,0,0,0,0,2
adjoining,0,0,0,0,0,0,0,0,0,2
room,0,0,0,0,0,0,0,0,0,2
open,0,0,0,0,0,0,0,0,0,3
window,0,0,0,0,0,0,0,0,0,3
crave,0,0,1,0,0,0,0,0,0,3
heat,0,0,0,0,0,0,0,0,0,3
air,0,0,0,0,0,0,0,0,0,3
bed,0,0,0,0,0,0,0,0,0,4
include,0,0,0,0,0,0,0,0,0,4
fold,0,0,0,0,0,0,0,0,0,4
sofa,0,0,0,0,0,0,0,0,0,4
bed,0,0,0,0,0,0,0,0,0,4
room,0,0,0,0,0,0,0,0,0,4
clean,0,0,0,1,0,0,1,0,0,4
access,0,0,0,0,0,0,0,0,0,5
work,0,0,0,0,0,0,0,0,0,5
dream,0,0,0,0,0,0,0,0,0,5
issue,0,0,0,0,0,0,0,0,0,5
night,0,0,0,0,0,0,0,0,0,5
respond,0,0,0,0,0,0,0,0,0,5
call,0,0,0,0,0,0,0,0,0,5
service,0,0,0,0,0,0,0,0,0,5
ensure,0,0,0,0,0,0,0,0,0,5
location,0,0,0,0,0,0,0,0,0,6
close,0,0,0,0,0,0,0,0,0,6
street,0,0,0,0,0,0,0,0,0,6
subway,0,0,0,0,0,0,0,0,0,6
station,0,0,0,0,0,0,0,0,0,6
umbrella,0,0,0,0,0,0,0,0,0,6
day,0,0,0,0,0,0,0,0,0,6
greatly,0,0,0,0,0,0,0,0,0,6
kitchen,0,0,0,0,0,0,0,0,0,7
cook,0,0,0,0,0,0,0,0,0,7
facility,0,0,0,0,0,0,0,0,0,7
access,0,0,0,0,0,0,0,0,0,7
food,0,0,0,1,0,0,1,0,0,7
directly,0,0,0,0,0,0,0,0,0,7
road,0,0,0,0,0,0,0,0,0,7
fairway,0,0,0,0,0,0,0,0,0,7
time,0,0,1,0,0,0,0,0,0,8
member,0,0,0,0,0,0,0,0,0,8
party,0,0,0,0,0,0,0,0,0,8
stay,0,0,0,0,0,0,0,0,0,8
beacon,0,0,0,0,0,0,0,0,0,8
hotel,0,0,0,0,0,0,0,0,0,8
choice,0,0,0,0,0,0,0,0,0,8
future,0,0,0,0,0,0,0,0,0,8
visit,0,0,0,0,0,0,0,0,0,8
visit,0,0,0,0,0,0,0,0,1,0
hotel,0,0,0,0,0,0,0,0,1,0
beacon,0,0,0,0,0,0,0,0,1,0
place,0,0,0,0,0,0,0,0,1,0
love,0,0,0,0,0,0,1,0,1,0
stay,0,0,0,0,0,0,0,0,1,0
locate,0,0,0,0,0,0,0,0,1,1
central,0,0,0,0,0,0,0,0,1,1
park,0,0,0,0,0,0,0,0,1,1
center,0,0,0,1,0,0,0,0,1,1
local,0,0,0,0,0,0,0,0,1,1
restaurant,0,0,0,0,0,0,0,0,1,1
room,0,0,0,0,0,0,0,0,1,2
lovely,0,0,1,1,1,1,1,0,1,2
bed,0,0,0,0,0,0,0,0,1,2
kitchen,0,0,0,0,0,0,0,0,1,2
bang,1,1,0,0,1,1,0,1,1,2
coffee,0,0,0,0,0,0,0,0,1,2
maker,0,0,0,0,0,0,0,0,1,2
staff,0,0,0,0,0,0,0,0,1,3
accommodate,0,0,0,0,0,0,0,0,1,3
love,0,0,0,0,0,0,1,0,1,3
street,0,0,0,0,0,0,0,0,1,3
fairway,0,0,0,0,0,0,0,0,1,3
supermarket,0,0,0,0,0,0,0,0,1,3
goody,0,0,0,0,0,0,0,0,1,3
eat,0,0,0,0,0,0,0,0,1,3
choose,0,0,0,0,0,0,0,0,1,3
meal,0,0,0,0,0,0,0,0,1,3
property,0,0,0,0,0,0,0,0,2,0
room,0,0,0,0,0,0,0,0,2,1
room,0,0,0,0,0,0,0,0,2,1
stay,0,0,0,0,0,0,0,0,2,1
room,0,0,0,0,0,0,0,0,2,2
tower,0,0,0,0,0,0,0,0,2,2
inconvenient,1,0,0,0,0,1,0,1,2,2
conference,0,0,0,0,0,0,0,0,2,3
area,0,0,0,0,0,0,0,0,2,3
elevator,0,0,0,0,0,0,0,0,2,3
room,0,0,0,0,0,0,0,0,2,4
suite,0,0,0,0,0,0,0,0,2,4
appoint,0,0,0,0,0,0,0,0,2,5
room,0,0,0,0,0,0,0,0,2,5
part,0,0,0,0,0,0,0,0,2,5
bathroom,0,0,0,0,0,0,0,0,2,5
foot,0,0,0,0,0,0,0,0,2,6
soak,0,0,0,0,0,0,0,0,2,6
bowl,0,0,0,0,0,0,0,0,2,6
bath,0,0,0,0,0,0,0,0,2,6
product,0,0,0,0,0,0,0,0,2,6
bathroom,0,0,0,0,0,0,0,0,2,6
lemon,0,0,0,0,0,0,0,1,2,7
pancake,0,0,0,0,0,0,0,0,2,7
restaurant,0,0,0,0,0,0,0,0,2,7
pancake,0,0,0,0,0,0,0,0,2,8
hotel,0,0,0,0,0,0,0,0,3,0
central,0,0,0,0,0,0,0,0,3,0
location,0,0,0,0,0,0,0,0,3,0
modern,0,0,0,0,0,0,0,0,3,1
hotel,0,0,0,0,0,0,0,0,3,1
convenient,0,0,0,0,0,0,0,0,3,1
arrive,0,0,1,0,0,0,0,0,3,2
greet,0,0,0,0,0,0,0,0,3,2
friendly,0,0,1,1,0,0,1,0,3,2
walk,0,0,0,0,0,0,0,0,3,2
desk,0,0,0,0,0,0,0,0,3,2
offering,0,0,0,1,0,0,0,0,3,2
beverage,0,0,0,0,0,0,0,0,3,2
bedroom,0,0,0,0,0,0,0,0,3,3
suite,0,0,0,0,0,0,0,0,3,3
accommodate,0,0,0,0,0,0,0,0,3,3
people,0,0,0,0,0,0,0,0,3,3
plenty,0,0,0,0,0,0,0,0,3,4
closet,0,0,0,0,0,0,0,0,3,4
space,0,0,0,0,0,0,0,0,3,4
floor,0,0,0,0,0,0,0,0,3,4
ceiling,0,0,0,0,0,0,0,0,3,4
window,0,0,0,0,0,0,0,0,3,4
quiet,0,0,0,0,0,1,0,0,3,4
bathroom,0,0,0,0,0,0,0,0,3,5
large,0,0,0,0,0,0,0,0,3,5
